napi-88-5,1828208023.504447,45.51
napi-216-5,4734084343.5440426,46.31
napi-472-5,8137565993.4393368,40.78
napi-984-5,9044737582.9071064,29.45
napi-1240-5,9190639663.95422,28.66
xdp1-88-3,827839333.80538869,2.41
xdp1-216-3,2057831099.7702038,2.25
xdp1-472-3,4507045859.8685818,2.09
xdp1-984-3,7779129126.0443535,1.70
xdp1-1240-3,8565038351.4319878,1.49
napi-88-2,599838475.31416357,6.46
napi-216-2,1557673563.5498829,6.43
napi-472-2,3274303461.8555651,6.12
napi-984-2,5854540914.8621635,6.15
napi-1240-2,7390669432.2703638,6.34
xdp1-88-2,1174346615.5882769,2.87
xdp1-216-2,2998112927.2211919,2.74
xdp1-472-2,6642119390.1059065,2.80
xdp1-984-2,8988548626.62789,2.00
xdp1-1240-2,9250388910.15172,1.67
xdp1-88-5,1013010523.8025144,2.69
xdp1-216-5,2604769177.0902429,2.63
xdp1-472-5,5762144945.2197638,2.65
xdp1-984-5,8574372485.0273771,1.84
xdp1-1240-5,9056624975.2409039,1.59
dpdk-88-3,3396765746.48812,-.01
dpdk-216-3,6920849086.0391836,-.02
dpdk-472-3,8365544744.50934,0
dpdk-984-3,9153472595.88319,.05
dpdk-1240-3,9318068090.2674446,-.02
napi-88-1,1838166656.6339474,45.86
napi-216-1,4738990441.6824284,46.12
napi-472-1,8141826264.63234,40.54
napi-984-1,9057292615.2902451,28.93
napi-1240-1,9207895838.3662148,27.36
napi-88-3,1821256227.0588193,45.43
napi-216-3,4721599361.4187851,45.98
napi-472-3,8144567384.5119944,41.61
napi-984-3,9061377060.5746,28.72
napi-1240-3,9214050430.02489,26.82
napi-88-4,1826297994.458374,45.52
napi-216-4,4700284305.5997477,45.54
napi-472-4,8133564270.6994181,40.33
napi-984-4,9065742529.925,28.35
napi-1240-4,9215601124.3805561,26.60
dpdk-88-2,3400369613.17755,-.01
dpdk-216-2,6920614528.2426815,-.01
dpdk-472-2,8365042006.608346,-.01
dpdk-984-2,9153587849.36025,0
dpdk-1240-2,9318032995.82145,.06
xdp1-88-1,801367923.047114,2.31
xdp1-216-1,2098640058.8572938,2.25
xdp1-472-1,4787006519.47693,2.24
xdp1-984-1,8228966356.014842,1.79
xdp1-1240-1,8855791039.05826,1.55
xdp1-88-4,959427851.91473067,2.02
xdp1-216-4,2402885312.7949333,2.57
xdp1-472-4,5252723696.0065432,2.48
xdp1-984-4,8262031982.0340347,1.82
xdp1-1240-4,8853240429.3316441,1.56
dpdk-88-4,3403717000.6139965,.02
dpdk-216-4,6920342104.9493656,-.01
dpdk-472-4,8365416147.4642515,.01
dpdk-984-4,9153566732.64331,0
dpdk-1240-4,9317893478.55409,0
dpdk-88-1,3397843437.4033008,.05
dpdk-216-1,6919089296.1652031,0
dpdk-472-1,8365514030.4199076,0
dpdk-984-1,9153753467.38512,-.01
dpdk-1240-1,9318192068.62426,-.01
dpdk-88-5,3397134350.5688972,-.02
dpdk-216-5,6918682522.10106,.06
dpdk-472-5,8362994067.54485,-.01
dpdk-984-5,9153525382.92294,0
dpdk-1240-5,9318199821.4415531,-.02
